Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,total_CO2_EMISSION
Construction,North America,Brazil,2010,89.13,90.14,98.37,118.36,31.41,0.77,428.18
Mining,Europe,Germany,2006,224.81,931.7,10.81,66.73,39.45,0.21,1273.71
Manufacturing,South America,South Africa,2017,179.72,255.14,55.36,111.67,1.25,4.97,608.11
Construction,Europe,India,2018,23.28,887.29,78.99,123.6,46.81,13.77,1173.74
Construction,Africa,China,2013,124.54,923.03,65.93,52.32,35.67,13.91,1215.4
Mining,Asia,Australia,2016,251.47,490.32,89.71,47.23,47.5,11.75,937.98
Manufacturing,Europe,Brazil,2022,94.95,412.26,44.23,178.1,13.31,9.32,752.17
Manufacturing,Europe,India,2018,144.94,278.5,42.77,129.53,46.92,4.88,647.54
Construction,Oceania,South Africa,2021,146.85,807.48,2.71,62.28,22.73,16.76,1058.81
Energy,North America,Germany,2012,185.59,196.99,1.66,110.2,7.66,11.51,513.61
Construction,Africa,South Africa,2022,265.26,622.31,69.3,141.51,36.89,6.94,1142.21
Construction,Europe,Canada,2002,52.47,567.35,47.2,4.62,34.77,3.05,709.46
Construction,Africa,South Africa,2001,151.63,249.27,66.06,183.97,46.1,13.22,710.25
Construction,North America,China,2008,127.57,983.06,23.9,143.47,15.27,3.99,1297.26
Mining,Oceania,Brazil,2006,89.13,846.4,86.32,78.51,31.5,10.52,1142.38
Manufacturing,Africa,India,2013,275.92,21.02,90.3,186.46,48.01,8.76,630.47
Mining,North America,China,2004,2.95,422.54,66.26,11.26,43.63,4.09,550.73
Mining,North America,Germany,2019,37.07,359.29,27.85,150.86,41.14,15.62,631.83
Mining,South America,Australia,2014,220.14,882.87,21.69,105.3,43.95,9.22,1283.17
Construction,Oceania,Brazil,2019,79.4,264.86,62.59,132.99,42.23,0.6,582.67
Energy,Oceania,Australia,2000,217.09,998.45,94.08,94.33,19.02,10.12,1433.09
Manufacturing,Africa,China,2019,249.76,200.48,57.85,29.53,0.88,4.21,542.71
Energy,Asia,Germany,2006,76.76,244.26,83.95,52.23,49.38,19.86,526.44
Mining,South America,Germany,2004,57.99,666.25,56.58,92.66,38.77,12.98,925.23
Mining,Oceania,India,2003,44.02,161.48,67.49,183.78,11.37,2.03,470.17
Energy,North America,Canada,2010,60.43,888.86,56.82,13.76,37.42,10.14,1067.43
Energy,Oceania,South Africa,2018,80.52,110.37,57.58,21.03,18.29,7.97,295.76
Energy,Asia,Germany,2005,260.69,983.33,73.95,30.63,12.41,11.89,1372.9
Mining,Europe,Canada,2019,231.12,874.71,39.68,126.46,28.34,13.23,1313.54
Mining,Europe,Germany,2017,1.05,839.74,90.41,73.32,0.63,9.13,1014.28
Manufacturing,Oceania,South Africa,2004,262.3,407.51,86.36,29.93,48.83,12.82,847.75
Manufacturing,Oceania,USA,2019,24.1,513.88,72.56,24.48,47.16,5.82,688
Mining,South America,Germany,2014,196.75,456.63,74.37,134.86,39.53,0.84,902.98
Energy,Oceania,Brazil,2020,45.87,987.43,41.38,92.57,2.77,1.21,1171.23
Energy,Asia,Australia,2019,19.15,35.31,83.27,174.56,3.84,17.06,333.19
Manufacturing,Oceania,Australia,2005,228.05,382.02,93.27,80.86,32.45,6.89,823.54
Mining,Africa,China,2003,140.43,968.4,79.54,131.18,40.01,18.87,1378.43
Manufacturing,Asia,South Africa,2016,179.92,369.71,13.39,159.19,2.8,9.5,734.51
Manufacturing,South America,South Africa,2014,127.89,398.68,78.68,190.74,28.23,16.87,841.09
Construction,Africa,South Africa,2017,20.62,631.49,46.51,173.87,34.98,2.83,910.3
Construction,Africa,Brazil,2005,222.02,907.32,60.91,155.08,8.26,17.17,1370.76
Construction,Europe,South Africa,2019,246.2,294.87,99.12,82.64,8.86,18.77,750.46
Energy,Asia,Brazil,2021,12.91,947.63,36,196.56,46.58,19.09,1258.77
Mining,Africa,Canada,2018,113.03,282.92,34.92,53.02,20.11,6.08,510.08
Mining,South America,Canada,2011,167.42,815.49,26.39,132.29,13.8,14.41,1169.8
Mining,Europe,Australia,2008,181.75,276.2,12.8,26.21,2.37,1.34,500.67
Mining,Africa,India,2007,173.66,73.45,16.9,121.22,1.94,5.86,393.03
Construction,Asia,USA,2014,208.04,812.4,51.48,138.01,12.98,6.67,1229.58
Energy,Europe,South Africa,2000,290.06,450.35,90.99,18.15,31.04,14.21,894.8
Energy,Asia,Australia,2001,117.48,391.05,81.01,59.06,30.3,6.5,685.4
Construction,Asia,USA,2002,167.21,430.17,18.33,128.34,11.35,1.42,756.82
Energy,Asia,Australia,2018,209.87,611.77,56.21,120.47,37.16,9.41,1044.89
Construction,Europe,South Africa,2009,177.93,263.06,84.71,133.68,23.11,6.07,688.56
Mining,Africa,Brazil,2013,116.33,237.66,54,24.98,39.99,15.45,488.41
Construction,Oceania,Australia,2018,187.41,483.7,91.15,103.11,46.23,10.35,921.95
Mining,North America,China,2010,195.21,36.12,90.8,185.53,11.94,6.23,525.83
Mining,Africa,USA,2020,175.7,643.03,34.89,190.76,22.47,1.19,1068.04
Manufacturing,Europe,USA,2005,61.93,822.93,87.41,25.43,2.75,4.43,1004.88
Construction,North America,Brazil,2018,152.04,727.55,58.55,178.89,38.16,3.48,1158.67
Manufacturing,North America,Canada,2013,265.36,469.57,48.04,115.34,16.2,7.04,921.55
Construction,North America,USA,2007,260.65,565.61,77.45,150.61,32.6,0.83,1087.75
Construction,Oceania,India,2001,225.36,26.67,78.98,30.21,19.12,0.94,381.28
Manufacturing,South America,Brazil,2021,209.31,912.4,67.57,147.6,7.21,18.3,1362.39
Manufacturing,Europe,USA,2017,46.41,558.28,81.11,14.31,0.45,17.85,718.41
Construction,Oceania,USA,2021,138.11,316.75,95.15,126.64,32.05,14.23,722.93
Energy,Oceania,USA,2003,33.73,293.94,87.32,133.65,46.72,14.45,609.81
Mining,South America,Brazil,2002,245.28,659.83,7.52,132.98,45.19,1.66,1092.46
Manufacturing,North America,Canada,2001,87.67,584.54,85.02,11.83,47.03,3.05,819.14
Mining,South America,China,2003,230.18,188.25,78.17,76.9,34.44,5.68,613.62
Energy,South America,Germany,2017,244.47,410.21,92.68,148.9,21.51,10.06,927.83
Energy,Oceania,Australia,2010,267.8,676.34,73.98,159.38,26.37,16.97,1220.84
Energy,Europe,South Africa,2008,226.27,298.01,87.8,83.16,36.34,19.68,751.26
Manufacturing,Asia,Australia,2007,169.64,509.52,1.12,32.49,15.01,15.6,743.38
Energy,South America,USA,2020,179.66,255.25,97.78,99.94,9.66,3.14,645.43
Manufacturing,South America,Australia,2007,96.51,72.15,19.17,130.09,3.49,17.98,339.39
Energy,North America,Germany,2004,53.51,388.55,86.44,184.09,23.89,13.87,750.35
Mining,North America,Germany,2012,39.63,732.21,92.97,136.3,4.67,1.87,1007.65
Mining,Oceania,USA,2006,55.02,214.24,0.32,164.55,23.07,6.88,464.08
Construction,North America,USA,2020,280.22,754.63,91.38,53.02,40.66,16.09,1236
Mining,Africa,South Africa,2004,49.75,669.66,82.94,166.66,7.74,17.46,994.21
Construction,South America,Canada,2012,217.26,507.62,92.25,122.43,6.12,14.99,960.67
Mining,North America,Germany,2019,55.8,971.47,17.77,109.84,12.35,9.68,1176.91
Manufacturing,Europe,China,2015,292.6,883.47,77.77,53.45,4.25,19.92,1331.46
Mining,Africa,Germany,2013,110.29,563.39,48.8,40.86,18.29,0.15,781.78
Construction,Oceania,China,2004,123.93,558,25.84,108.82,30.48,2.21,849.28
Construction,Asia,Canada,2022,121.65,278.13,75.64,178.3,23.66,9.27,686.65
Energy,South America,Australia,2018,245.03,920.24,47.38,47.15,36.04,14.21,1310.05
Manufacturing,South America,India,2003,65.88,895.98,90,55.81,6.1,0.64,1114.41
Mining,Europe,China,2021,249.39,742.19,71.1,189.59,17.08,8.63,1277.98
Energy,Asia,South Africa,2010,197.29,128.32,14,5.42,20.91,5.1,371.04
Mining,Asia,Brazil,2001,66.47,703.79,25.15,97.13,23.04,11.25,926.83
Mining,Oceania,Canada,2012,20.09,253.49,26.53,105.8,3.53,6.35,415.79
Energy,Oceania,Australia,2015,232.61,189.22,34.47,135.18,3.3,13.11,607.89
Energy,Africa,USA,2008,66.08,759.33,66.68,38.88,4.31,3.02,938.3
Energy,South America,Canada,2015,266.78,959.75,89.44,114.33,7.1,15.22,1452.62
Energy,North America,India,2006,39.37,109.35,59.41,21.98,0.12,10.96,241.19
